CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
State Board of Insurance v. Todd Shipyards Corp.,370 U.S. 451,6/25/62,1962,1960,0,0,upheld,59 Stat. 33,59 Stat. 33,79-15,3/9/45,207,79,5,,1,1,1,1,1,0,0,1,0
"Manual Enterprises, Inc. v. Day",370 U.S. 478,6/25/62,1962,1960,1,1,struck down as applied,69 Stat. 183,69 Stat. 183,84-95,6/28/55,84,84,2,,0,0,0,1,0,0,1,1,0
Glidden Co. v. Zdanok,370 U.S. 530,6/25/62,1962,1960,0,0,upheld,70 Stat. 532,70 Stat. 532,84-703,7/14/56,71,84,1,6,0,0,1,1,0,0,0,2,0
Kennedy v. Mendoza-Martinez,372 U.S. 144,2/18/63,1963,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 267,82-414,6/27/52,128,82,1,6,1,0,1,0,1,1,1,4,0
United States v. National Dairy Products Corpt.,372 U.S. 29,2/18/63,1963,1960,0,0,upheld,Antitrust Act of 1914 Amendment,49 Stat. 1526,74-692,6/19/36,356,74,1,,1,1,1,0,0,0,1,3,0
Sperry v. Florida,373 U.S. 379,5/27/63,1963,1960,0,0,upheld,66 Stat. 795,66 Stat. 795,82-593,7/19/52,130,82,5,6,0,0,1,1,0,0,0,0,0
Arizona v. California,373 U.S. 546,6/3/63,1963,1960,0,0,upheld,45 Stat. 1057,45 Stat. 1057,70-642,12/21/28,414,70,5,,1,0,1,0,0,0,0,3,1
Reisman v. Caplin,375 U.S. 440,1/20/64,1964,1960,0,0,upheld,Renegotiation Act Extension,68a Stat. 1,83-746,8/16/54,113,83,1,,1,0,1,1,0,0,1,0,1
United States v. Barnett,376 U.S. 681,4/6/64,1964,1960,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,594,63,1,,1,1,1,0,0,0,1,4,0
Schneider v. Rusk,377 U.S. 163,5/18/64,1964,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 269,82-414,6/27/52,143,82,1,2,1,0,0,1,1,1,1,3,0
Parden v. Terminal Railway of the Alabama State Docks Department,377 U.S. 184,5/18/64,1964,1960,0,0,upheld,Employers' Liability Act of 1908 (Railroads),35 Stat. 65,60-100,4/22/08,673,60,5,,1,1,1,0,1,0,0,4,1
Aptheker v. Secretary of State,378 U.S. 500,6/22/64,1964,1960,2,1,struck down on face,Internal Security Act of 1950,64 Stat. 1003,81-831,9/23/50,165,81,2,,1,1,1,0,1,1,1,3,0
Schlagenhauf v. Holder,379 U.S. 104,11/24/64,1964,1960,0,0,upheld,Communications Act of 1934,48 Stat. 1064,73-416,6/19/34,365,73,2,,0,0,0,1,0,0,0,4,0
"Heart of Atlanta Motel, Inc. v. United States",379 U.S. 241,12/14/64,1964,1960,0,0,upheld,Civil Rights Act of 1964,78 Stat. 241,88-352,7/2/64,5,88,5,,1,1,1,0,1,0,1,0,0
Katzenbach v. McClung,379 U.S. 294,12/14/64,1964,1960,0,0,upheld,Civil Rights Act of 1964,78 Stat. 241,88-352,7/2/64,5,88,5,,1,1,1,0,0,0,1,0,0
United States v. Mississippi,380 U.S. 128,3/8/65,1965,1960,0,0,upheld,Civil Rights Act of 1960,74 Stat. 90,86-449,5/6/60,58,86,5,,1,1,1,0,1,0,1,0,0
Singer v. United States,380 U.S. 24,3/1/65,1965,1960,0,0,upheld,54 Stat. 688,54 Stat. 688,76-675,6/29/40,297,76,1,,0,0,1,1,0,0,1,0,0
Hanna v. Plumer,380 U.S. 460,4/26/65,1965,1960,0,0,upheld,Judiciary and Judicial Procedure Act,62 Stat. 961,80-773,6/25/48,202,80,5,,0,0,0,1,1,0,0,0,1
United States v. Gainey,380 U.S. 63,3/1/65,1965,1960,0,0,upheld,Excise Tax Technical Changes Act of 1958,72 Stat. 1399,85-859,9/2/58,78,85,1,6,0,0,1,1,1,0,1,2,0
Zemel v. Rusk,381 U.S. 1,5/3/65,1965,1960,0,0,upheld,Walsh Act,44 Stat. 887,69-493,7/3/26,466,69,2,6,0,0,1,0,0,0,1,3,1
United States v. Atlas Life Insurance Co.,381 U.S. 233,5/17/65,1965,1960,0,0,upheld,Life Insurance Company Income Tax Act of 1959,73 Stat. 112,86-69,6/25/59,71,86,5,4,0,0,1,1,1,0,1,0,0
Lamont v. Postmaster General,381 U.S. 301,5/24/65,1965,1960,2,1,struck down on face,Postal Service and Federal Employees Salary Act of 1962,76 Stat. 840,87-793,10/11/62,31,87,2,,0,0,1,0,0,1,1,0,0
United States v. Brown,381 U.S. 437,6/7/65,1965,1960,1,1,struck down on face,Labor-Management Reporting and Disclosure Act,73 Stat. 536,86-257,9/14/59,69,86,6,1,1,0,1,1,0,1,1,4,0
United States v. Romano,382 U.S. 136,11/22/65,1965,1960,1,1,struck down as applied,Excise Tax Technical Changes Act of 1958,72 Stat. 1399,85-859,9/2/58,86,85,1,,0,0,1,1,0,1,1,0,0
Albertson v. Subversive Activities Control Board,382 U.S. 70,11/15/65,1965,1960,1,1,struck down as applied,Internal Security Act of 1950,64 Stat. 994,81-831,9/23/50,182,81,1,,1,1,1,1,1,1,1,0,0
Katchen v. Landy,382 U.S. 323,1/17/66,1966,1960,0,0,upheld,Bankruptcy Act of 1898 Amendments,52 Stat. 843,75-696,6/22/38,331,75,1,,1,0,0,1,0,0,0,2,0
United States v. Johnson,383 U.S. 169,2/24/66,1966,1960,1,1,struck down as applied,58 Stat. 752,58 Stat. 752,78-439,9/27/44,257,78,6,2,0,0,1,1,0,0,1,3,0
South Carolina v. Katzenbach,383 U.S. 301,2/24/66,1966,1960,0,0,upheld,Voting Rights Act of 1965,79 Stat. 437,89-110,8/6/65,6,89,5,1,0,0,1,0,0,0,1,1,0
Ginzburg v. United States,383 U.S. 463,3/21/66,1966,1960,0,0,upheld,69 Stat. 183,69 Stat. 183,84-95,6/28/55,129,84,2,,0,0,1,1,0,0,1,4,0
United States v. Guest,383 U.S. 745,3/28/66,1966,1960,0,0,upheld,Enforcement Act of 1870,16 Stat. 141,,5/31/1870,1150,41,1,,1,1,1,0,1,0,1,4,1
Cheff v. Schnackenberg,384 U.S. 373,6/6/66,1966,1960,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,620,63,1,,1,1,1,1,0,0,1,2,0
Katzenbach v. Morgan,384 U.S. 641,6/13/66,1966,1960,0,0,upheld,Voting Rights Act of 1965,79 Stat. 439,89-110,8/6/65,9,89,5,,1,1,0,0,1,0,1,2,0
Dennis v. United States,384 U.S. 855,6/20/66,1966,1960,0,0,upheld,58 Stat. 752,58 Stat. 752,78-439,9/27/44,261,78,1,,0,0,1,1,1,0,1,2,0
State Farm Fire & Casualty Co. v. Tashire,386 U.S. 523,4/10/67,1967,1960,0,0,upheld,Federal Interpleader Act of 1936,49 Stat. 1096,74-422,1/20/36,375,74,6,,0,0,0,1,1,0,0,1,0
Boutilier v. INS,387 U.S. 118,5/22/67,1967,1960,0,0,upheld,Immigration and Nationality Act,66 Stat. 182,82-414,6/27/52,179,82,1,,1,1,1,1,0,0,1,3,0
Afroyim v. Rusk,387 U.S. 253,5/29/67,1967,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 268,82-414,6/27/52,179,82,2,,1,0,1,1,1,1,1,4,0
Prima Paint Corp. v. Flood & Conklin Manufacturing Co.,388 U.S. 395,6/12/67,1967,1960,0,0,upheld,68 Stat. 1233,68 Stat. 1233,83-779,9/3/54,153,83,5,,0,0,0,1,0,0,0,3,1
United States v. Robel,389 U.S. 258,12/11/67,1967,1960,2,1,struck down on face,Internal Security Act of 1950,64 Stat. 992,81-831,9/23/50,195,81,2,,1,1,1,0,0,1,1,2,0
Schneider v. Smith,390 U.S. 17,1/16/68,1968,1960,1,1,struck down as applied,Magnuson Act,64 Stat. 427,81-679,8/9/50,209,81,2,,0,0,1,0,1,0,1,0,0
Marchetti v. United States,390 U.S. 39,1/29/68,1968,1960,2,1,struck down on face,Renegotiation Act Extension,68A Stat. 527,83-746,8/16/54,161,83,1,,1,0,1,1,1,1,1,1,1
United States v. Jackson,390 U.S. 570,4/8/68,1968,1960,2,1,struck down on face,Crimes and Criminal Procedure Act,62 Stat. 760,80-772,6/25/48,238,80,1,,0,0,1,0,1,1,1,2,1
Grosso v. United States,390 U.S. 62,1/29/68,1968,1960,2,1,struck down on face,Renegotiation Act Extension,68A Stat. 527,83-746,8/16/54,161,83,1,,1,0,1,1,1,1,1,1,1
Permian Basin Area Rate Cases,390 U.S. 747,5/1/68,1968,1960,0,0,upheld,Natural Gas Act,52 Stat. 823,75-688,6/21/38,359,75,4,1,1,1,1,1,1,0,1,1,0
Haynes v. United States,390 U.S. 85,1/29/68,1968,1960,2,1,struck down on face,National Firearms Act,48 Stat. 1236,73-474,6/29/34,403,73,1,,0,0,1,1,1,1,1,1,0
United States v. O'Brien,391 U.S. 367,5/27/68,1968,1960,0,0,upheld,79 Stat. 586,79 Stat. 586,89-152,8/28/65,33,89,2,,0,0,1,1,0,0,1,1,0
Maryland v. Wirtz,392 U.S. 183,6/10/68,1968,1960,0,0,upheld,Fair Labor Standards Amendments of 1966,80 Stat. 832,89-601,9/23/66,21,89,5,,1,0,1,0,0,0,1,2,0
Jones v. Alfred H. Mayer Co.,392 U.S. 409,6/17/68,1968,1960,0,0,upheld,Enforcement Act of 1870,16 Stat. 144,,5/31/1870,1177,41,5,,1,1,1,1,1,0,0,2,1
Clark v. Gabriel,393 U.S. 256,12/16/68,1968,1960,0,0,upheld,Universal Military Training and Service Act Amendments,81 Stat. 100,90-40,6/30/67,18,90,1,,0,0,1,0,1,0,1,0,0
Thorpe v. Housing Authority of the City of Durham,393 U.S. 268,1/13/69,1969,1960,0,0,upheld,United States Housing Act of 1937,50 Stat. 891,75-412,9/1/37,376,75,4,,1,0,0,1,1,0,0,0,0
Shapiro v. Thompson,394 U.S. 618,4/21/69,1969,1960,2,1,struck down on face,Social Security Act Amendments of 1950,64 Stat. 550,81-734,8/26/50,224,81,2,3,1,0,0,0,0,1,0,3,0
Watts v. United States,394 U.S. 705,4/21/69,1969,1960,1,1,struck down as applied,Crimes and Criminal Procedure Act,62 Stat. 740,80-772,6/25/48,250,80,2,,0,0,1,1,1,0,1,3,1
Frank v. United States,395 U.S. 147,5/19/69,1969,1960,0,0,upheld,55 Stat. 779,55 Stat. 779,77-316,11/21/41,330,77,1,,0,0,1,1,0,0,1,3,0
O'Callahan v. Parker,395 U.S. 258,6/2/69,1969,1960,1,1,struck down as applied,Uniform Code of Military Justice,64 Stat. 107,81-506,5/5/50,229,81,1,,0,0,1,1,1,1,1,3,0
Red Lion Broadcasting Co. v. FCC,395 U.S. 367,6/9/69,1969,1960,0,0,upheld,Communications Act Amendment,73 Stat. 557,86-274,9/14/59,117,86,2,1,0,0,1,1,1,0,1,0,0
National Labor Relations Board v. Gissel Packing Co.,395 U.S. 575,6/16/69,1969,1960,0,0,upheld,National Labor Relations Act,49 Stat. 452,74-198,7/5/35,419,74,2,,1,1,1,1,1,0,1,0,0
Leary v. United States,395 U.S. 6,5/19/69,1969,1960,2,1,struck down on face,Narcotic Control Act of 1956,70 Stat. 570,84-728,7/18/56,154,84,1,,1,0,1,1,1,1,1,0,0
Bryson v. United States,396 U.S. 64,12/8/69,1969,1960,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 749,80-772,6/25/48,258,80,1,,0,0,1,1,0,0,1,2,1
Minor v. United States,396 U.S. 87,12/8/69,1969,1960,0,0,upheld,Renegotiation Act Extension,68A Stat. 560,83-746,8/16/54,184,83,1,,1,0,1,1,0,0,1,2,1
Turner v. United States,396 U.S. 398,1/20/70,1970,1970,2,1,struck down on face,Narcotic Control Act of 1956,70 Stat. 570,84-728,7/18/56,162,84,1,,1,0,1,1,1,1,1,2,0
Rowan v. United States Post Office Department,397 U.S. 728,5/4/70,1970,1970,0,0,upheld,Postal Revenue and Federal Salary Act of 1967,81 Stat. 645,90-206,12/16/67,29,90,2,1,0,0,1,0,0,0,1,0,0
Welsh v. United States,398 U.S. 333,6/15/70,1970,1970,1,1,struck down as applied,Selective Service Act of 1948,62 Stat. 612,80-759,6/24/48,264,80,2,,0,0,1,1,1,0,1,3,1
Schacht v. United States,398 U.S. 58,5/25/70,1970,1970,2,1,struck down on face,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,165,84,2,,0,0,1,1,1,1,1,0,0
Oregon v. Mitchell,400 U.S. 112,12/21/70,1970,1970,2,1,struck down on face,Voting Rights Act Amendments of 1970,84 Stat. 318,91-285,6/22/70,6,91,5,,1,1,1,0,0,1,1,8,0
United States v. Maryland Savings-Share Insurance Corp.,400 U.S. 4,10/19/70,1970,1970,0,0,upheld,74 Stat. 54,74 Stat. 54,86-428,4/22/60,114,86,4,,0,0,0,0,1,0,1,0,0
Blount v. Rizzi,400 U.S. 410,1/14/71,1971,1970,2,1,struck down on face,82 Stat. 1153,82 Stat. 1153,90-591,10/17/68,27,90,2,,0,0,1,0,0,1,1,0,0
"Relford v. Commandant, U.S. Disciplinary Barracks",401 U.S. 355,2/24/71,1971,1970,0,0,upheld,Uniform Code of Military Justice,64 Stat. 107,81-506,5/5/50,249,81,1,,0,0,1,1,0,0,1,0,0
Gillette v. United States,401 U.S. 437,3/8/71,1971,1970,0,0,upheld,Universal Military Training and Service Act Amendments,81 Stat. 100,90-40,6/30/67,45,90,2,,0,0,1,1,0,0,1,1,0
United States v. Freed,401 U.S. 601,4/5/71,1971,1970,0,0,upheld,Gun Control Act of 1968,82 Stat. 1227,90-618,10/22/68,30,90,1,,1,0,1,0,1,0,1,0,0
United States v. United States Coin & Currency,401 U.S. 715,4/5/71,1971,1970,2,1,struck down on face,Renegotiation Act Extension,68A Stat. 867,83-746,8/16/54,176,83,1,,1,0,1,0,1,1,1,4,1
Rogers v. Bellei,401 U.S. 815,4/5/71,1971,1970,0,0,upheld,Immigration and Nationality Act,66 Stat. 236,82-414,6/27/52,226,82,2,,1,0,1,1,0,0,1,4,0
Perez v. United States,402 U.S. 146,4/26/71,1971,1970,0,0,upheld,Consumer Credit Protection Act,82 Stat. 159,90-321,5/29/68,35,90,5,,1,0,1,1,0,0,1,1,0
United States v. Reidel,402 U.S. 351,5/3/71,1971,1970,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,359,80,2,,0,0,1,1,1,0,1,2,1
United States v. Thirty-Seven Photographs,402 U.S. 363,5/3/71,1971,1970,0,0,upheld,Tariff Act of 1930,46 Stat. 688,71-361,6/17/30,491,71,2,,1,0,1,0,1,0,1,3,1
Richardson v. Perales,402 U.S. 389,5/3/71,1971,1970,0,0,upheld,Social Security Act,49 Stat. 620,74-271,8/14/35,429,74,1,,1,0,1,0,1,0,1,3,0
United States v. Vuitch,402 U.S. 62,4/21/71,1971,1970,0,0,upheld,District of Columbia Law Enforcement Act of 1953,67 Stat. 93,83-85,6/29/53,214,83,1,,0,0,1,0,1,0,1,6,1
Graham v. Richardson,403 U.S. 365,6/14/71,1971,1970,1,1,struck down as applied,Social Security Act Amendments of 1950,64 Stat. 556,81-734,8/8/50,250,81,3,,1,0,0,0,0,0,1,0,0
Tilton v. Richardson,403 U.S. 672,6/28/71,1971,1970,2,1,struck down on face,Higher Education Facilities Act of 1963,77 Stat. 378,88-204,12/16/63,90,88,2,,0,0,1,0,0,1,1,4,0
Griffin v. Breckenridge,403 U.S. 88,6/7/71,1971,1970,0,0,upheld,17 Stat. 13,17 Stat. 13,,4/20/1871,1202,42,5,,1,1,1,1,1,0,0,0,1
Richardson v. Belcher,404 U.S. 78,11/22/71,1971,1970,0,0,upheld,Social Security Amendments of 1965,79 Stat. 406,89-97,7/30/65,76,89,1,,0,0,1,0,1,0,1,3,0
California Motor Transport Co. v. Trucking Unlimited,404 U.S. 508,1/13/72,1972,1970,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,687,63,2,,1,1,0,1,0,0,0,0,0
United States v. Biswell,406 U.S. 311,5/15/72,1972,1970,0,0,upheld,Gun Control Act of 1968,82 Stat. 1213,90-618,10/21/68,43,90,1,,1,0,1,1,1,0,1,1,0
Kastigar v. United States,406 U.S. 441,5/22/72,1972,1970,0,0,upheld,Organized Crime Control Act of 1970,84 Stat. 922,91-452,10/15/70,19,91,1,,1,1,1,1,0,0,1,2,0
Flower v. United States,407 U.S. 197,6/12/72,1972,1970,1,1,struck down as applied,Crimes and Criminal Procedure Act,62 Stat. 765,80-772,6/25/48,288,80,2,,0,0,0,1,1,0,1,3,1
United States v. Brewster,408 U.S. 501,6/29/72,1972,1970,0,0,upheld,84 Stat. 853,84 Stat. 853,91-405,9/22/70,21,91,2,,1,0,1,0,1,0,1,3,0
Kleindienst v. Mandel,408 U.S. 753,6/29/72,1972,1970,0,0,upheld,Immigration and Nationality Act,66 Stat. 182,82-414,6/27/52,240,82,2,,1,1,1,0,1,0,1,3,0
Richardson v. Davis,409 U.S. 1069,12/11/72,1972,1970,2,1,struck down on face,Social Security Amendments of 1967,81 Stat. 882,90-248,1/2/68,47,90,3,,0,0,0,0,0,1,1,0,0
United States v. Jim,409 U.S. 80,11/20/72,1972,1970,0,0,upheld,82 Stat. 121,82 Stat. 121,90-306,5/17/68,54,90,4,,0,0,0,0,1,0,1,1,0
Chief of Capitol Police v. Jeannette Rankin Brigade,409 U.S. 972,11/6/72,1972,1970,2,1,struck down on face,Capitol Grounds Act,60 Stat. 718,79-570,7/31/46,316,79,2,,0,0,0,0,0,1,1,0,0
United States v. Kras,409 U.S. 434,1/10/73,1973,1970,0,0,upheld,Bankruptcy Act of 1898 Amendments,60 Stat. 326,79-464,6/28/46,319,79,1,,0,0,1,0,1,0,1,4,1
Hurtado v. United States,410 U.S. 578,3/5/73,1973,1970,0,0,upheld,Jury Selection and Service Act of 1968,82 Stat. 62,90-274,3/27/68,60,90,4,,0,0,1,1,0,0,1,2,1
"Mourning v. Family Publications Service, Inc.",411 U.S. 356,4/24/73,1973,1970,0,0,upheld,Consumer Credit Protection Act,82 Stat. 148,90-321,5/29/68,59,90,4,,1,1,1,1,1,0,0,3,1
Palmore v. United States,411 U.S. 389,4/24/73,1973,1970,0,0,upheld,District of Columbia Court Reform and Criminal Procedure Act of 1970,84 Stat. 573,91-358,7/29/70,33,91,1,6,1,0,1,0,0,0,1,1,1
Frontiero v. Richardson,411 U.S. 677,5/14/73,1973,1970,2,1,struck down on face,76 Stat. 469,76 Stat. 469,87-649,9/7/62,128,87,3,,0,0,1,0,1,1,1,1,1
Barnes v. United States,412 U.S. 837,6/18/73,1973,1970,0,0,upheld,53 Stat. 1257,53 Stat. 1257,76-332,8/7/39,406,76,1,,0,0,1,1,0,0,1,3,0
"Columbia Broadcasting System, Inc. v. Democratic National Committee",412 U.S. 94,5/29/73,1973,1970,0,0,upheld,Communications Act of 1934,48 Stat. 1064,73-416,6/19/34,467,73,2,,1,0,1,1,1,0,0,2,1
United States v. 12 200-Foot Reels of Super 8mm Film,413 U.S. 123,6/21/73,1973,1970,0,0,upheld,Tariff Act of 1930,46 Stat. 688,71-361,6/17/30,516,71,2,,1,0,1,1,1,0,1,4,0
United States v. Orito,413 U.S. 139,6/21/73,1973,1970,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,300,80,2,,0,0,1,0,0,0,1,4,0
Almeida-Sanchez v. United States,413 U.S. 266,6/21/73,1973,1970,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 233,82-414,6/27/52,252,82,1,,1,0,1,0,0,0,1,4,1
United States Department of Agriculture v. Murry,413 U.S. 508,6/25/73,1973,1970,2,1,struck down on face,Food Stamp Act of 1964 Amendments,84 Stat. 2049,91-671,1/11/71,29,91,1,4,1,0,1,0,0,1,1,4,1
United States Department of Agriculture v. Moreno,413 U.S. 528,6/25/73,1973,1970,2,1,struck down on face,Food Stamp Act of 1964 Amendments,84 Stat. 2048,91-671,1/11/71,29,91,1,4,1,0,1,0,0,1,1,2,1
United States Civil Service Commission v. National Association of Letter Carriers,413 U.S. 548,6/25/73,1973,1970,0,0,upheld,80 Stat. 378,80 Stat. 378,89-554,9/6/66,93,89,2,1,0,0,1,0,1,0,1,3,1
Marshall v. United States,414 U.S. 417,1/9/74,1974,1970,0,0,upheld,Public Health Service Act Amendment,82 Stat. 1006,90-574,10/15/68,63,90,1,,0,0,1,1,0,0,1,3,1
Curtis v. Loether,415 U.S. 189,2/20/74,1974,1970,1,1,struck down as applied,Fair Housing Act,82 Stat. 88,90-284,4/11/68,70,90,1,,1,0,1,1,0,0,0,0,1
National Cable Television Association v. United States,415 U.S. 336,3/4/74,1974,1970,2,1,struck down on face,Independent Offices Appropriation Act of 1952,65 Stat. 290,82-137,8/31/51,271,82,4,6,0,0,1,0,1,0,1,2,1
Johnson v. Robison,415 U.S. 361,3/4/74,1974,1970,0,0,upheld,Veterans Hospitalization and Medical Services Modernization Amendments of 1966,80 Stat. 1368,89-785,11/7/66,88,89,2,,0,0,1,1,1,0,1,1,1
Arnett v. Kennedy,416 U.S. 134,4/16/74,1974,1970,0,0,upheld,37 Stat. 555,37 Stat. 555,62-336,8/24/12,740,62,1,,0,0,1,0,1,0,1,4,1
California Bankers Association v. Schultz,416 U.S. 21,4/1/74,1974,1970,0,0,upheld,Federal Deposit Insurance Act Amendments,84 Stat. 1114,91-508,10/26/70,42,91,1,,0,0,1,0,1,0,1,3,1
Pernell v. Southall Realty,416 U.S. 363,4/24/74,1974,1970,1,1,struck down as applied,District of Columbia Court Reform and Criminal Procedure Act of 1970,84 Stat. 552,91-358,7/29/70,45,91,1,,1,0,0,1,1,0,0,0,1
Morton v. Mancari,417 U.S. 535,6/17/74,1974,1970,0,0,upheld,48 Stat. 984,48 Stat. 984,73-383,6/18/34,480,73,3,,0,0,1,0,1,0,1,0,1
Jimenez v. Weinberger,417 U.S. 628,6/19/74,1974,1970,2,1,struck down on face,Social Security Amendments of 1965,79 Stat. 410,89-97,7/30/65,107,89,3,,0,0,1,0,0,1,1,1,1
Parker v. Levy,417 U.S. 733,6/19/74,1974,1970,0,0,upheld,Uniform Code of Military Justice,64 Stat. 107,81-506,5/5/50,289,81,1,2,0,0,1,0,1,0,1,3,1
Hamling v. United States,418 U.S. 87,6/24/74,1974,1970,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,312,80,2,,0,0,1,1,0,0,1,4,0
Regional Rail Reorganization Act Cases,419 U.S. 102,12/16/74,1974,1970,2,1,struck down on face,Regional Rail Reorganization Act of 1973,87 Stat. 985,93-236,1/2/74,11,93,4,,1,0,1,0,1,0,1,2,1
Schlesinger v. Ballard,419 U.S. 498,1/15/75,1975,1970,0,0,upheld,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,221,84,3,,0,0,1,0,1,0,1,4,1
United States v. Mazurie,419 U.S. 544,1/21/75,1975,1970,0,0,upheld,67 Stat. 586,67 Stat. 586,83-277,8/15/53,257,83,1,5,0,0,1,1,1,0,1,0,0
United States v. Wilson,420 U.S. 332,2/25/75,1975,1970,0,0,upheld,Omnibus Crime Control Act of 1970,84 Stat. 1890,91-644,1/2/71,49,91,1,,0,0,1,1,1,0,1,2,1
Serfass v. United States,420 U.S. 377,3/3/75,1975,1970,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,321,80,1,,0,0,1,1,0,0,1,1,0
United States v. Maine,420 U.S. 515,3/17/75,1975,1970,0,0,upheld,First Independent Offices Appropration Act of 1954,67 stat. 299,83-176,5/22/53,262,83,5,,1,1,1,0,0,0,1,0,0
Weinberger v. Wiesenfeld,420 U.S. 636,3/19/75,1975,1970,2,1,struck down on face,Social Security Act Amendments,53 Stat. 1364,76-379,8/10/39,427,76,3,,1,0,1,0,0,1,1,0,1
Fry v. United States,421 U.S. 542,5/27/75,1975,1970,0,0,upheld,Defense Production Act of 1950 Amendment,84 Stat. 799,91-379,8/15/70,57,91,5,,0,0,1,1,0,0,1,1,1
Muniz v. Hoffman,422 U.S. 454,6/25/75,1975,1970,0,0,upheld,Taft-Hartley Act,61 Stat. 149,80-101,6/23/47,336,80,1,,1,0,1,1,0,0,1,4,0
Weinberger v. Salfi,422 U.S. 749,6/26/75,1975,1970,0,0,upheld,Social Security Act Amendments of 1950,64 Stat. 510,81-734,8/28/50,298,81,1,,1,0,1,0,1,0,1,3,1
United States v. Brignoni-Ponce,422 U.S. 873,6/30/75,1975,1970,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 233,82-414,6/27/52,276,82,1,,1,0,1,1,0,0,1,0,1
United States v. Ortiz,422 U.S. 891,6/30/75,1975,1970,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 233,82-414,6/27/52,276,82,1,,1,0,1,1,0,0,1,0,1
United States v. Powell,423 U.S. 87,12/2/75,1975,1970,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,330,80,1,,0,0,1,1,1,0,1,1,0
United States v. Watson,423 U.S. 411,1/26/76,1976,1970,0,0,upheld,82 Stat. 998,82 Stat. 998,90-561,10/12/68,87,90,1,,0,0,1,1,1,0,1,2,1
Buckley v. Valeo,424 U.S. 1,1/30/76,1976,1970,2,1,struck down on face,Federal Election Campaign Act of 1971,86 Stat. 3,92-225,2/7/72,47,92,2,6,1,1,1,0,1,1,0,5,1
Mathews v. Eldridge,424 U.S. 319,2/24/76,1976,1970,0,0,upheld,70 Stat. 815,70 Stat. 815,85-880,8/1/56,234,85,1,,1,0,1,1,1,0,1,2,1
Middendorf v. Henry,425 U.S. 25,3/24/76,1976,1970,0,0,upheld,Uniform Code of Military Justice,64 Stat. 108,81-506,5/5/50,310,81,1,,0,0,1,1,1,0,1,3,1
United States v. Miller,425 U.S. 435,4/21/76,1976,1970,0,0,upheld,Federal Deposit Insurance Act Amendments,84 Stat. 1114,91-508,10/26/70,66,91,1,,1,0,1,1,1,0,1,2,1
United States v. MacCollom,426 U.S. 317,6/10/76,1976,1970,0,0,upheld,Judiciary and Judicial Procedure Act,62 Stat. 921,80-773,6/25/48,336,80,1,,0,0,1,1,1,0,1,4,0
Kleppe v. New Mexico,426 U.S. 529,6/17/76,1976,1970,0,0,upheld,85 Stat. 649,85 Stat. 649,92-195,12/15/71,54,92,5,,0,0,1,1,1,0,1,0,1
"Federal Energy Administration v. Algonquin SNG, Inc.",426 U.S. 548,6/17/76,1976,1970,0,0,upheld,Trade Act of 1974,88 Stat. 1993,93-618,1/3/75,17,93,6,,1,1,1,0,1,0,1,0,1
Mathews v. Diaz,426 U.S. 67,6/1/76,1976,1970,0,0,upheld,Social Security Amendments of 1965,79 Stat. 301,89-97,7/30/65,131,89,2,3,1,0,1,0,1,0,1,0,1
National League of Cities v. Usery,426 U.S. 833,6/24/76,1976,1970,2,1,struck down on face,Fair Labor Standards Amendments of 1974,88 Stat. 59,93-259,4/8/74,26,93,5,,0,0,1,0,1,1,1,4,1
Runyon v. McCrary,427 U.S. 160,6/25/76,1976,1970,0,0,upheld,14 Stat. 27,14 Stat. 27,,4/9/1866,1322,39,2,,1,1,1,1,0,0,0,2,0
Fitzpatrick v. Bitzer,427 U.S. 445,6/28/76,1976,1970,0,0,upheld,Equal Employment Opportunity Act of 1972,86 Stat. 107,92-261,3/24/72,51,92,5,,0,0,1,1,1,0,0,0,1
Mathews v. Lucas,427 U.S. 495,6/29/76,1976,1970,0,0,upheld,Social Security Act,49 Stat. 620,74-271,8/14/35,490,74,3,,1,0,1,0,1,0,1,3,1
